"FilePath","FileName","Extension","Encoding","Size"
"C:\D\fold7\AIVA-git\start_ui_auto.py","start_ui_auto.py",".py","UTF-8 (含中文)","1031"
"C:\D\fold7\AIVA-git\start-aiva.ps1","start-aiva.ps1",".ps1","UTF-8 (含中文)","3355"
"C:\D\fold7\AIVA-git\start-aiva.sh","start-aiva.sh",".sh","UTF-8 (含中文)","2545"
"C:\D\fold7\AIVA-git\temp_ts_analyzer.js","temp_ts_analyzer.js",".js","UTF-8 (含中文)","2893"
"C:\D\fold7\AIVA-git\verify-language-configs.ps1","verify-language-configs.ps1",".ps1","UTF-8 (含中文)","4663"
"C:\D\fold7\AIVA-git\.github\WORKFLOW_STATUS.md","WORKFLOW_STATUS.md",".md","UTF-8 (含中文)","2275"
"C:\D\fold7\AIVA-git\.github\workflows\schema-compliance.yml","schema-compliance.yml",".yml","UTF-8 (含中文)","6418"
"C:\D\fold7\AIVA-git\.pytest_cache\README.md","README.md",".md","UTF-8 或 ASCII","310"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\__editable___aiva_platform_integrated_1_0_0_finder.py","__editable___aiva_platform_integrated_1_0_0_finder.py",".py","UTF-8 或 ASCII","3401"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\_black_version.py","_black_version.py",".py","UTF-8 或 ASCII","20"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\cfgv.py","cfgv.py",".py","UTF-8 或 ASCII","12220"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\mypy_extensions.py","mypy_extensions.py",".py","UTF-8 或 ASCII","7754"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\nodeenv.py","nodeenv.py",".py","UTF-8 或 ASCII","46675"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\py.py","py.py",".py","UTF-8 或 ASCII","329"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\six.py","six.py",".py","UTF-8 或 ASCII","34703"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\typing_extensions.py","typing_extensions.py",".py","UTF-8 或 ASCII","160429"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\__init__.py","__init__.py",".py","UTF-8 或 ASCII","345"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\base.py","base.py",".py","UTF-8 或 ASCII","2046"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\os.py","os.py",".py","UTF-8 或 ASCII","1078"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\ospath.py","ospath.py",".py","UTF-8 或 ASCII","678"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\tempfile\__init__.py","__init__.py",".py","UTF-8 或 ASCII","10207"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\tempfile\temptypes.py","temptypes.py",".py","UTF-8 或 ASCII","2037"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\threadpool\__init__.py","__init__.py",".py","UTF-8 或 ASCII","3140"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\threadpool\binary.py","binary.py",".py","UTF-8 或 ASCII","2315"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\threadpool\text.py","text.py",".py","UTF-8 或 ASCII","1223"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiofiles\threadpool\utils.py","utils.py",".py","UTF-8 或 ASCII","1850"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohappyeyeballs\__init__.py","__init__.py",".py","UTF-8 或 ASCII","361"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohappyeyeballs\_staggered.py","_staggered.py",".py","UTF-8 或 ASCII","6900"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohappyeyeballs\impl.py","impl.py",".py","UTF-8 或 ASCII","9681"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohappyeyeballs\types.py","types.py",".py","UTF-8 或 ASCII","425"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohappyeyeballs\utils.py","utils.py",".py","UTF-8 或 ASCII","3028"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\__init__.py","__init__.py",".py","UTF-8 或 ASCII","8580"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_cookie_helpers.py","_cookie_helpers.py",".py","UTF-8 或 ASCII","12552"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\abc.py","abc.py",".py","UTF-8 或 ASCII","7417"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\base_protocol.py","base_protocol.py",".py","UTF-8 或 ASCII","3125"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_exceptions.py","client_exceptions.py",".py","UTF-8 或 ASCII","11788"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_middleware_digest_auth.py","client_middleware_digest_auth.py",".py","UTF-8 或 ASCII","17564"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_middlewares.py","client_middlewares.py",".py","UTF-8 或 ASCII","1973"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_proto.py","client_proto.py",".py","UTF-8 或 ASCII","12469"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_reqrep.py","client_reqrep.py",".py","UTF-8 或 ASCII","54927"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client_ws.py","client_ws.py",".py","UTF-8 或 ASCII","15537"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\client.py","client.py",".py","UTF-8 或 ASCII","60298"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\compression_utils.py","compression_utils.py",".py","UTF-8 或 ASCII","9905"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\connector.py","connector.py",".py","UTF-8 (含非ASCII字符)","70290"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\cookiejar.py","cookiejar.py",".py","UTF-8 或 ASCII","19444"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\formdata.py","formdata.py",".py","UTF-8 或 ASCII","6563"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\hdrs.py","hdrs.py",".py","UTF-8 或 ASCII","5232"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\helpers.py","helpers.py",".py","UTF-8 或 ASCII","31615"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\http_exceptions.py","http_exceptions.py",".py","UTF-8 或 ASCII","3072"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\http_parser.py","http_parser.py",".py","UTF-8 或 ASCII","38442"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\http_websocket.py","http_websocket.py",".py","UTF-8 或 ASCII","878"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\http_writer.py","http_writer.py",".py","UTF-8 或 ASCII","12824"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\http.py","http.py",".py","UTF-8 或 ASCII","1914"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\log.py","log.py",".py","UTF-8 或 ASCII","333"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\multipart.py","multipart.py",".py","UTF-8 或 ASCII","41185"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\payload_streamer.py","payload_streamer.py",".py","UTF-8 或 ASCII","2289"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\payload.py","payload.py",".py","UTF-8 或 ASCII","41994"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\pytest_plugin.py","pytest_plugin.py",".py","UTF-8 或 ASCII","13345"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\resolver.py","resolver.py",".py","UTF-8 或 ASCII","10305"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\streams.py","streams.py",".py","UTF-8 或 ASCII","23336"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\tcp_helpers.py","tcp_helpers.py",".py","UTF-8 或 ASCII","998"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\test_utils.py","test_utils.py",".py","UTF-8 或 ASCII","23790"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\tracing.py","tracing.py",".py","UTF-8 或 ASCII","15013"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\typedefs.py","typedefs.py",".py","UTF-8 或 ASCII","1726"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_app.py","web_app.py",".py","UTF-8 或 ASCII","20072"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_exceptions.py","web_exceptions.py",".py","UTF-8 或 ASCII","10812"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_fileresponse.py","web_fileresponse.py",".py","UTF-8 或 ASCII","16780"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_log.py","web_log.py",".py","UTF-8 或 ASCII","8081"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_middlewares.py","web_middlewares.py",".py","UTF-8 或 ASCII","4286"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_protocol.py","web_protocol.py",".py","UTF-8 或 ASCII","27807"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_request.py","web_request.py",".py","UTF-8 或 ASCII","30749"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_response.py","web_response.py",".py","UTF-8 或 ASCII","30197"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_routedef.py","web_routedef.py",".py","UTF-8 或 ASCII","6324"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_runner.py","web_runner.py",".py","UTF-8 或 ASCII","12185"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_server.py","web_server.py",".py","UTF-8 或 ASCII","2972"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_urldispatcher.py","web_urldispatcher.py",".py","UTF-8 或 ASCII","45508"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web_ws.py","web_ws.py",".py","UTF-8 (含非ASCII字符)","23370"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\web.py","web.py",".py","UTF-8 或 ASCII","18444"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\worker.py","worker.py",".py","UTF-8 或 ASCII","8407"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\__init__.py","__init__.py",".py","UTF-8 或 ASCII","45"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\helpers.py","helpers.py",".py","UTF-8 或 ASCII","5185"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\models.py","models.py",".py","UTF-8 或 ASCII","2205"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\reader_c.py","reader_c.py",".py","UTF-8 或 ASCII","19267"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\reader_py.py","reader_py.py",".py","UTF-8 或 ASCII","19267"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\reader.py","reader.py",".py","UTF-8 或 ASCII","1061"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp\_websocket\writer.py","writer.py",".py","UTF-8 或 ASCII","7317"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp-3.13.1.dist-info\top_level.txt","top_level.txt",".txt","UTF-8 或 ASCII","8"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiohttp-3.13.1.dist-info\licenses\LICENSE.txt","LICENSE.txt",".txt","UTF-8 或 ASCII","601"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\__init__.py","__init__.py",".py","UTF-8 或 ASCII","1811"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\abc.py","abc.py",".py","UTF-8 或 ASCII","17329"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\auth.py","auth.py",".py","UTF-8 或 ASCII","862"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\base.py","base.py",".py","UTF-8 或 ASCII","4811"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\channel.py","channel.py",".py","UTF-8 或 ASCII","29509"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\connection.py","connection.py",".py","UTF-8 或 ASCII","33064"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\exceptions.py","exceptions.py",".py","UTF-8 或 ASCII","5831"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\tools.py","tools.py",".py","UTF-8 或 ASCII","3284"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiormq\types.py","types.py",".py","UTF-8 或 ASCII","231"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiosignal\__init__.py","__init__.py",".py","UTF-8 或 ASCII","1537"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiosignal-1.4.0.dist-info\top_level.txt","top_level.txt",".txt","UTF-8 或 ASCII","10"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\__init__.py","__init__.py",".py","UTF-8 或 ASCII","1026"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\abc.py","abc.py",".py","UTF-8 或 ASCII","25788"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\channel.py","channel.py",".py","UTF-8 或 ASCII","15490"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\connection.py","connection.py",".py","UTF-8 或 ASCII","11521"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\exceptions.py","exceptions.py",".py","UTF-8 或 ASCII","1304"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\exchange.py","exchange.py",".py","UTF-8 或 ASCII","6886"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\log.py","log.py",".py","UTF-8 或 ASCII","246"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\message.py","message.py",".py","UTF-8 或 ASCII","19004"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\pool.py","pool.py",".py","UTF-8 或 ASCII","4177"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\queue.py","queue.py",".py","UTF-8 或 ASCII","19586"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\robust_channel.py","robust_channel.py",".py","UTF-8 或 ASCII","8834"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\robust_connection.py","robust_connection.py",".py","UTF-8 或 ASCII","10507"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\robust_exchange.py","robust_exchange.py",".py","UTF-8 或 ASCII","2889"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\robust_queue.py","robust_queue.py",".py","UTF-8 或 ASCII","4847"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\tools.py","tools.py",".py","UTF-8 或 ASCII","10557"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\transaction.py","transaction.py",".py","UTF-8 或 ASCII","2065"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\patterns\__init__.py","__init__.py",".py","UTF-8 或 ASCII","233"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\patterns\base.py","base.py",".py","UTF-8 或 ASCII","1447"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\patterns\master.py","master.py",".py","UTF-8 或 ASCII","6263"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aio_pika\patterns\rpc.py","rpc.py",".py","UTF-8 或 ASCII","15928"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiva_platform_integrated-1.0.0.dist-info\direct_url.json","direct_url.json",".json","UTF-8 或 ASCII","70"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\aiva_platform_integrated-1.0.0.dist-info\top_level.txt","top_level.txt",".txt","UTF-8 或 ASCII","9"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\__init__.py","__init__.py",".py","UTF-8 或 ASCII","63"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\__main__.py","__main__.py",".py","UTF-8 或 ASCII","78"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\command.py","command.py",".py","UTF-8 或 ASCII","24855"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\config.py","config.py",".py","UTF-8 或 ASCII","34237"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\context.py","context.py",".py","UTF-8 或 ASCII","195"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\environment.py","environment.py",".py","UTF-8 或 ASCII","43"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\migration.py","migration.py",".py","UTF-8 或 ASCII","41"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\op.py","op.py",".py","UTF-8 或 ASCII","167"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\autogenerate\__init__.py","__init__.py",".py","UTF-8 或 ASCII","543"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\autogenerate\api.py","api.py",".py","UTF-8 或 ASCII","22219"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\autogenerate\compare.py","compare.py",".py","UTF-8 或 ASCII","45979"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\autogenerate\render.py","render.py",".py","UTF-8 或 ASCII","37270"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\autogenerate\rewriter.py","rewriter.py",".py","UTF-8 或 ASCII","7814"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\__init__.py","__init__.py",".py","UTF-8 或 ASCII","152"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\_autogen.py","_autogen.py",".py","UTF-8 或 ASCII","9275"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\base.py","base.py",".py","UTF-8 或 ASCII","10478"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\impl.py","impl.py",".py","UTF-8 或 ASCII","30439"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\mssql.py","mssql.py",".py","UTF-8 或 ASCII","14257"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\mysql.py","mysql.py",".py","UTF-8 或 ASCII","18383"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\oracle.py","oracle.py",".py","UTF-8 或 ASCII","6243"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\postgresql.py","postgresql.py",".py","UTF-8 或 ASCII","29950"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\ddl\sqlite.py","sqlite.py",".py","UTF-8 或 ASCII","8006"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\__init__.py","__init__.py",".py","UTF-8 或 ASCII","318"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\base.py","base.py",".py","UTF-8 或 ASCII","75157"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\batch.py","batch.py",".py","UTF-8 或 ASCII","26923"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\ops.py","ops.py",".py","UTF-8 或 ASCII","96276"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\schemaobj.py","schemaobj.py",".py","UTF-8 或 ASCII","9468"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\operations\toimpl.py","toimpl.py",".py","UTF-8 或 ASCII","7503"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\runtime\__init__.py","__init__.py",".py","空檔案","0"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\runtime\environment.py","environment.py",".py","UTF-8 或 ASCII","41479"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\runtime\migration.py","migration.py",".py","UTF-8 或 ASCII","49997"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\script\__init__.py","__init__.py",".py","UTF-8 或 ASCII","100"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\script\base.py","base.py",".py","UTF-8 或 ASCII","36654"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\script\revision.py","revision.py",".py","UTF-8 或 ASCII","62307"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\script\write_hooks.py","write_hooks.py",".py","UTF-8 或 ASCII","4976"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\templates\async\env.py","env.py",".py","UTF-8 或 ASCII","2389"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\templates\generic\env.py","env.py",".py","UTF-8 或 ASCII","2103"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\templates\multidb\env.py","env.py",".py","UTF-8 或 ASCII","4230"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\templates\pyproject\env.py","env.py",".py","UTF-8 或 ASCII","2103"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\templates\pyproject_async\env.py","env.py",".py","UTF-8 或 ASCII","2389"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\__init__.py","__init__.py",".py","UTF-8 或 ASCII","1297"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\assertions.py","assertions.py",".py","UTF-8 或 ASCII","5302"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\env.py","env.py",".py","UTF-8 (含非ASCII字符)","11551"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\fixtures.py","fixtures.py",".py","UTF-8 或 ASCII","10403"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\requirements.py","requirements.py",".py","UTF-8 或 ASCII","4460"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\schemacompare.py","schemacompare.py",".py","UTF-8 或 ASCII","4838"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\util.py","util.py",".py","UTF-8 或 ASCII","3350"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\warnings.py","warnings.py",".py","UTF-8 或 ASCII","831"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\plugin\__init__.py","__init__.py",".py","空檔案","0"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\plugin\bootstrap.py","bootstrap.py",".py","UTF-8 或 ASCII","50"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\__init__.py","__init__.py",".py","UTF-8 或 ASCII","288"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\_autogen_fixtures.py","_autogen_fixtures.py",".py","UTF-8 或 ASCII","13480"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_autogen_comments.py","test_autogen_comments.py",".py","UTF-8 或 ASCII","6283"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_autogen_computed.py","test_autogen_computed.py",".py","UTF-8 或 ASCII","4554"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_autogen_diffs.py","test_autogen_diffs.py",".py","UTF-8 或 ASCII","8394"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_autogen_fks.py","test_autogen_fks.py",".py","UTF-8 或 ASCII","32927"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_autogen_identity.py","test_autogen_identity.py",".py","UTF-8 或 ASCII","5824"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_environment.py","test_environment.py",".py","UTF-8 或 ASCII","11877"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\testing\suite\test_op.py","test_op.py",".py","UTF-8 或 ASCII","1343"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\util\__init__.py","__init__.py",".py","UTF-8 或 ASCII","1519"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\util\compat.py","compat.py",".py","UTF-8 或 ASCII","3810"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\util\editor.py","editor.py",".py","UTF-8 或 ASCII","2546"
"C:\D\fold7\AIVA-git\.venv\Lib\site-packages\alembic\util\exc.py","exc.py",".py","UTF-8 或 ASCII","564"
