scenario_id,scenario_text,teacher_vulnerability_type,teacher_severity,teacher_confidence,difficulty_level
rce_easy_6976,檢測到 表達式解析 特徵：eval(,rce,0.95,0.95,easy
ssrf_hard_6222,通過分析請求參數與響應差異，識別出 內部服務 漏洞，關鍵指標為 file://,ssrf,0.8,0.75,hard
xss_hard_8667,通過分析請求參數與響應差異，識別出 DOM 操作 漏洞，關鍵指標為 onerror=,xss,0.75,0.75,hard
idor_medium_1301,在 HTTP 響應中發現 直接對象引用 相關的 account= 模式,idor,0.7,0.85,medium
idor_medium_4126,在 HTTP 響應中發現 權限繞過 相關的 account= 模式,idor,0.7,0.85,medium
jwt_attack_easy_9572,檢測到 令牌偽造 特徵：token,jwt_attack,0.8,0.95,easy
ssrf_easy_5569,檢測到 內部服務 特徵：127.0.0.1,ssrf,0.8,0.95,easy
sql_injection_easy_1138,檢測到 UNION 查詢 特徵：syntax error,sql_injection,0.85,0.95,easy
graphql_introspection_medium_7419,在 HTTP 響應中發現 API 偵查 相關的 GraphQL 模式,graphql_introspection,0.6,0.85,medium
xss_medium_6829,在 HTTP 響應中發現 腳本注入 相關的 <script> 模式,xss,0.75,0.85,medium
real_50_9591,he 會驗證 X-F5-Auth-Token。然而，攻擊者可以在請求中加入 Connection: X-F5-Auth-Token Header。根據 HTTP 規範，代理伺服器（Apache）在轉發,jwt_attack,0.8,0.8,medium
idor_easy_1394,檢測到 直接對象引用 特徵：account=,idor,0.7,0.95,easy
real_29_1822,ing Framework (Spring4Shell)、Atlassian Confluence OGNL Injection、Microsoft Exchange ProxyShell、F5 BI,rce,0.95,0.8,medium
rce_medium_5675,在 HTTP 響應中發現 代碼執行 相關的 system( 模式,rce,0.95,0.85,medium
idor_hard_2125,通過分析請求參數與響應差異，識別出 橫向越權 漏洞，關鍵指標為 account=,idor,0.7,0.75,hard
idor_hard_1838,通過分析請求參數與響應差異，識別出 直接對象引用 漏洞，關鍵指標為 account=,idor,0.7,0.75,hard
idor_easy_3560,檢測到 直接對象引用 特徵：unauthorized access,idor,0.7,0.95,easy
ssrf_easy_5526,檢測到 內部服務 特徵：127.0.0.1,ssrf,0.8,0.95,easy
graphql_introspection_hard_3284,通過分析請求參數與響應差異，識別出 Schema 暴露 漏洞，關鍵指標為 __type,graphql_introspection,0.6,0.75,hard
graphql_introspection_easy_7616,檢測到 內省查詢 特徵：__schema,graphql_introspection,0.6,0.95,easy
graphql_introspection_medium_6322,在 HTTP 響應中發現 Schema 暴露 相關的 introspection 模式,graphql_introspection,0.6,0.85,medium
xss_easy_8730,檢測到 腳本注入 特徵：onerror=,xss,0.75,0.95,easy
idor_medium_7068,在 HTTP 響應中發現 直接對象引用 相關的 account= 模式,idor,0.7,0.85,medium
graphql_introspection_medium_6746,在 HTTP 響應中發現 內省查詢 相關的 GraphQL 模式,graphql_introspection,0.6,0.85,medium
idor_easy_6909,檢測到 橫向越權 特徵：unauthorized access,idor,0.7,0.95,easy
sql_injection_medium_5572,在 HTTP 響應中發現 UNION 查詢 相關的 ORA- 模式,sql_injection,0.85,0.85,medium
jwt_attack_medium_5142,在 HTTP 響應中發現 簽名繞過 相關的 token 模式,jwt_attack,0.8,0.85,medium
jwt_attack_medium_7227,在 HTTP 響應中發現 簽名繞過 相關的 token 模式,jwt_attack,0.8,0.85,medium
jwt_attack_hard_5517,"通過分析請求參數與響應差異，識別出 令牌偽造 漏洞，關鍵指標為 ""alg"":""none""",jwt_attack,0.8,0.75,hard
ssrf_medium_8537,在 HTTP 響應中發現 雲端元數據 相關的 metadata 模式,ssrf,0.8,0.85,medium
graphql_introspection_medium_6246,在 HTTP 響應中發現 Schema 暴露 相關的 __schema 模式,graphql_introspection,0.6,0.85,medium
idor_medium_5830,在 HTTP 響應中發現 權限繞過 相關的 unauthorized access 模式,idor,0.7,0.85,medium
sql_injection_medium_5988,在 HTTP 響應中發現 數據庫錯誤訊息 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
idor_medium_1651,在 HTTP 響應中發現 權限繞過 相關的 user_id= 模式,idor,0.7,0.85,medium
ssrf_medium_3041,在 HTTP 響應中發現 雲端元數據 相關的 127.0.0.1 模式,ssrf,0.8,0.85,medium
real_69_7967,# 現代 Web 架構安全性深度剖析：針對 GraphQL、REST API、WebSocket 與 JWT 之自動化漏洞檢測與防禦機制研究報告 ## 1. 執行摘要與架構典範轉移 隨著 We,jwt_attack,0.8,0.8,medium
ssrf_medium_7956,在 HTTP 響應中發現 雲端元數據 相關的 metadata 模式,ssrf,0.8,0.85,medium
sql_injection_medium_6563,在 HTTP 響應中發現 數據庫錯誤訊息 相關的 ORA- 模式,sql_injection,0.85,0.85,medium
xss_medium_4953,在 HTTP 響應中發現 事件處理器 相關的 onerror= 模式,xss,0.75,0.85,medium
graphql_introspection_hard_5048,通過分析請求參數與響應差異，識別出 Schema 暴露 漏洞，關鍵指標為 introspection,graphql_introspection,0.6,0.75,hard
xss_easy_3462,檢測到 DOM 操作 特徵：document.cookie,xss,0.75,0.95,easy
jwt_attack_medium_4686,在 HTTP 響應中發現 令牌偽造 相關的 bearer 模式,jwt_attack,0.8,0.85,medium
idor_medium_9104,在 HTTP 響應中發現 權限繞過 相關的 user_id= 模式,idor,0.7,0.85,medium
idor_easy_5556,檢測到 橫向越權 特徵：unauthorized access,idor,0.7,0.95,easy
sql_injection_medium_3395,在 HTTP 響應中發現 UNION 查詢 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
idor_hard_5694,通過分析請求參數與響應差異，識別出 橫向越權 漏洞，關鍵指標為 account=,idor,0.7,0.75,hard
jwt_attack_easy_5485,檢測到 簽名繞過 特徵：token,jwt_attack,0.8,0.95,easy
real_53_5246,# 現代 Web 架構安全性深度剖析：針對 GraphQL、REST API、WebSocket 與 JWT 之自動化漏洞檢測與防禦機制研究報告 ## 1. 執行摘要與架構典,jwt_attack,0.8,0.8,medium
ssrf_medium_5606,在 HTTP 響應中發現 文件協議 相關的 localhost 模式,ssrf,0.8,0.85,medium
rce_medium_9300,在 HTTP 響應中發現 表達式解析 相關的 ${jndi: 模式,rce,0.95,0.85,medium
rce_hard_8036,通過分析請求參數與響應差異，識別出 代碼執行 漏洞，關鍵指標為 exec(,rce,0.95,0.75,hard
idor_medium_3151,在 HTTP 響應中發現 直接對象引用 相關的 account= 模式,idor,0.7,0.85,medium
graphql_introspection_hard_9148,通過分析請求參數與響應差異，識別出 API 偵查 漏洞，關鍵指標為 introspection,graphql_introspection,0.6,0.75,hard
sql_injection_medium_6405,在 HTTP 響應中發現 UNION 查詢 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
sql_injection_medium_9456,在 HTTP 響應中發現 時間延遲 相關的 ORA- 模式,sql_injection,0.85,0.85,medium
rce_easy_3803,檢測到 代碼執行 特徵：SpEL,rce,0.95,0.95,easy
sql_injection_easy_8440,檢測到 時間延遲 特徵：SLEEP(,sql_injection,0.85,0.95,easy
sql_injection_medium_8930,在 HTTP 響應中發現 數據庫錯誤訊息 相關的 error in your sql 模式,sql_injection,0.85,0.85,medium
rce_easy_4472,檢測到 命令注入 特徵：OGNL,rce,0.95,0.95,easy
jwt_attack_hard_4592,"通過分析請求參數與響應差異，識別出 令牌偽造 漏洞，關鍵指標為 ""alg"":""none""",jwt_attack,0.8,0.75,hard
jwt_attack_hard_9004,通過分析請求參數與響應差異，識別出 令牌偽造 漏洞，關鍵指標為 bearer,jwt_attack,0.8,0.75,hard
jwt_attack_easy_5464,檢測到 算法混淆 特徵：eyJ,jwt_attack,0.8,0.95,easy
xss_hard_9390,通過分析請求參數與響應差異，識別出 DOM 操作 漏洞，關鍵指標為 <script>,xss,0.75,0.75,hard
idor_easy_6069,檢測到 直接對象引用 特徵：unauthorized access,idor,0.7,0.95,easy
rce_medium_8129,在 HTTP 響應中發現 表達式解析 相關的 ${jndi: 模式,rce,0.95,0.85,medium
sql_injection_medium_3130,在 HTTP 響應中發現 數據庫錯誤訊息 相關的 SLEEP( 模式,sql_injection,0.85,0.85,medium
real_115_6112,漏洞：GraphQL 內省機制暴露 (Introspection)、REST API 的大量賦值 (Mass Assignment)、物件層級授權失效 (Broken Object Level Aut,graphql_introspection,0.6,0.8,medium
rce_medium_8180,在 HTTP 響應中發現 表達式解析 相關的 exec( 模式,rce,0.95,0.85,medium
idor_medium_3008,在 HTTP 響應中發現 權限繞過 相關的 object reference 模式,idor,0.7,0.85,medium
ssrf_medium_2105,在 HTTP 響應中發現 內部服務 相關的 169.254.169.254 模式,ssrf,0.8,0.85,medium
xss_easy_8078,檢測到 腳本注入 特徵：<script>,xss,0.75,0.95,easy
sql_injection_medium_4333,在 HTTP 響應中發現 UNION 查詢 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
graphql_introspection_medium_5705,在 HTTP 響應中發現 Schema 暴露 相關的 __schema 模式,graphql_introspection,0.6,0.85,medium
rce_easy_1418,檢測到 命令注入 特徵：eval(,rce,0.95,0.95,easy
jwt_attack_easy_3263,檢測到 令牌偽造 特徵：bearer,jwt_attack,0.8,0.95,easy
idor_easy_8397,檢測到 橫向越權 特徵：user_id=,idor,0.7,0.95,easy
xss_hard_5012,通過分析請求參數與響應差異，識別出 DOM 操作 漏洞，關鍵指標為 javascript:,xss,0.75,0.75,hard
ssrf_hard_5975,通過分析請求參數與響應差異，識別出 雲端元數據 漏洞，關鍵指標為 metadata,ssrf,0.8,0.75,hard
ssrf_hard_9973,通過分析請求參數與響應差異，識別出 雲端元數據 漏洞，關鍵指標為 file://,ssrf,0.8,0.75,hard
jwt_attack_medium_6780,在 HTTP 響應中發現 令牌偽造 相關的 eyJ 模式,jwt_attack,0.8,0.85,medium
xss_medium_7481,在 HTTP 響應中發現 事件處理器 相關的 <script> 模式,xss,0.75,0.85,medium
jwt_attack_hard_4951,通過分析請求參數與響應差異，識別出 簽名繞過 漏洞，關鍵指標為 eyJ,jwt_attack,0.8,0.75,hard
ssrf_easy_3782,檢測到 雲端元數據 特徵：169.254.169.254,ssrf,0.8,0.95,easy
sql_injection_easy_5645,檢測到 UNION 查詢 特徵：ORA-,sql_injection,0.85,0.95,easy
sql_injection_medium_5784,在 HTTP 響應中發現 UNION 查詢 相關的 syntax error 模式,sql_injection,0.85,0.85,medium
graphql_introspection_hard_7955,通過分析請求參數與響應差異，識別出 內省查詢 漏洞，關鍵指標為 GraphQL,graphql_introspection,0.6,0.75,hard
rce_medium_1806,在 HTTP 響應中發現 代碼執行 相關的 system( 模式,rce,0.95,0.85,medium
real_39_2180,命名與目錄介面（JNDI）的支援。在預設配置下，當 Log4j2 記錄一條包含特定格式字串（如 \${jndi:ldap://...}）的日誌時，它不會將其視為純文本，而是會解析該字串並嘗試執行其中的,rce,0.95,0.8,medium
xss_hard_3947,通過分析請求參數與響應差異，識別出 DOM 操作 漏洞，關鍵指標為 innerHTML,xss,0.75,0.75,hard
rce_medium_4730,在 HTTP 響應中發現 命令注入 相關的 ${jndi: 模式,rce,0.95,0.85,medium
sql_injection_easy_6925,檢測到 數據庫錯誤訊息 特徵：mysql_fetch,sql_injection,0.85,0.95,easy
ssrf_medium_8956,在 HTTP 響應中發現 內部服務 相關的 file:// 模式,ssrf,0.8,0.85,medium
jwt_attack_medium_8166,"在 HTTP 響應中發現 算法混淆 相關的 ""alg"":""none"" 模式",jwt_attack,0.8,0.85,medium
xss_medium_1712,在 HTTP 響應中發現 腳本注入 相關的 innerHTML 模式,xss,0.75,0.85,medium
ssrf_medium_5241,在 HTTP 響應中發現 文件協議 相關的 127.0.0.1 模式,ssrf,0.8,0.85,medium
xss_medium_9482,在 HTTP 響應中發現 DOM 操作 相關的 javascript: 模式,xss,0.75,0.85,medium
graphql_introspection_hard_8600,通過分析請求參數與響應差異，識別出 內省查詢 漏洞，關鍵指標為 __schema,graphql_introspection,0.6,0.75,hard
ssrf_hard_5376,通過分析請求參數與響應差異，識別出 雲端元數據 漏洞，關鍵指標為 file://,ssrf,0.8,0.75,hard
xss_medium_8648,在 HTTP 響應中發現 DOM 操作 相關的 onerror= 模式,xss,0.75,0.85,medium
jwt_attack_medium_2961,在 HTTP 響應中發現 算法混淆 相關的 eyJ 模式,jwt_attack,0.8,0.85,medium
xss_medium_6121,在 HTTP 響應中發現 DOM 操作 相關的 javascript: 模式,xss,0.75,0.85,medium
idor_hard_6481,通過分析請求參數與響應差異，識別出 橫向越權 漏洞，關鍵指標為 user_id=,idor,0.7,0.75,hard
sql_injection_medium_2234,在 HTTP 響應中發現 時間延遲 相關的 error in your sql 模式,sql_injection,0.85,0.85,medium
ssrf_medium_9270,在 HTTP 響應中發現 內部服務 相關的 localhost 模式,ssrf,0.8,0.85,medium
idor_medium_2607,在 HTTP 響應中發現 直接對象引用 相關的 unauthorized access 模式,idor,0.7,0.85,medium
ssrf_hard_3806,通過分析請求參數與響應差異，識別出 雲端元數據 漏洞，關鍵指標為 169.254.169.254,ssrf,0.8,0.75,hard
jwt_attack_medium_3719,"在 HTTP 響應中發現 算法混淆 相關的 ""alg"":""none"" 模式",jwt_attack,0.8,0.85,medium
rce_medium_5896,在 HTTP 響應中發現 代碼執行 相關的 exec( 模式,rce,0.95,0.85,medium
jwt_attack_hard_1818,通過分析請求參數與響應差異，識別出 算法混淆 漏洞，關鍵指標為 token,jwt_attack,0.8,0.75,hard
rce_hard_4903,通過分析請求參數與響應差異，識別出 命令注入 漏洞，關鍵指標為 eval(,rce,0.95,0.75,hard
xss_hard_4212,通過分析請求參數與響應差異，識別出 腳本注入 漏洞，關鍵指標為 javascript:,xss,0.75,0.75,hard
sql_injection_medium_7845,在 HTTP 響應中發現 時間延遲 相關的 UNION SELECT 模式,sql_injection,0.85,0.85,medium
xss_easy_7623,檢測到 DOM 操作 特徵：document.cookie,xss,0.75,0.95,easy
rce_easy_8453,檢測到 表達式解析 特徵：eval(,rce,0.95,0.95,easy
rce_medium_4935,在 HTTP 響應中發現 代碼執行 相關的 system( 模式,rce,0.95,0.85,medium
graphql_introspection_easy_3349,檢測到 內省查詢 特徵：__schema,graphql_introspection,0.6,0.95,easy
idor_hard_5491,通過分析請求參數與響應差異，識別出 橫向越權 漏洞，關鍵指標為 object reference,idor,0.7,0.75,hard
graphql_introspection_medium_3661,在 HTTP 響應中發現 內省查詢 相關的 __schema 模式,graphql_introspection,0.6,0.85,medium
xss_medium_6121,在 HTTP 響應中發現 腳本注入 相關的 innerHTML 模式,xss,0.75,0.85,medium
idor_medium_3166,在 HTTP 響應中發現 直接對象引用 相關的 object reference 模式,idor,0.7,0.85,medium
sql_injection_medium_7626,在 HTTP 響應中發現 UNION 查詢 相關的 ORA- 模式,sql_injection,0.85,0.85,medium
jwt_attack_medium_3212,在 HTTP 響應中發現 簽名繞過 相關的 token 模式,jwt_attack,0.8,0.85,medium
rce_easy_6124,檢測到 命令注入 特徵：SpEL,rce,0.95,0.95,easy
jwt_attack_medium_4633,在 HTTP 響應中發現 算法混淆 相關的 token 模式,jwt_attack,0.8,0.85,medium
idor_easy_8940,檢測到 橫向越權 特徵：object reference,idor,0.7,0.95,easy
xss_easy_1539,檢測到 DOM 操作 特徵：javascript:,xss,0.75,0.95,easy
rce_medium_6940,在 HTTP 響應中發現 表達式解析 相關的 ${jndi: 模式,rce,0.95,0.85,medium
sql_injection_easy_5288,檢測到 數據庫錯誤訊息 特徵：syntax error,sql_injection,0.85,0.95,easy
idor_easy_5450,檢測到 直接對象引用 特徵：unauthorized access,idor,0.7,0.95,easy
idor_hard_1126,通過分析請求參數與響應差異，識別出 權限繞過 漏洞，關鍵指標為 user_id=,idor,0.7,0.75,hard
jwt_attack_medium_1864,在 HTTP 響應中發現 令牌偽造 相關的 token 模式,jwt_attack,0.8,0.85,medium
idor_medium_6110,在 HTTP 響應中發現 權限繞過 相關的 user_id= 模式,idor,0.7,0.85,medium
rce_medium_2182,在 HTTP 響應中發現 命令注入 相關的 SpEL 模式,rce,0.95,0.85,medium
idor_medium_9703,在 HTTP 響應中發現 橫向越權 相關的 object reference 模式,idor,0.7,0.85,medium
jwt_attack_medium_4324,在 HTTP 響應中發現 簽名繞過 相關的 eyJ 模式,jwt_attack,0.8,0.85,medium
graphql_introspection_hard_1563,通過分析請求參數與響應差異，識別出 API 偵查 漏洞，關鍵指標為 introspection,graphql_introspection,0.6,0.75,hard
idor_easy_4616,檢測到 權限繞過 特徵：account=,idor,0.7,0.95,easy
ssrf_easy_4224,檢測到 內部服務 特徵：169.254.169.254,ssrf,0.8,0.95,easy
ssrf_hard_6637,通過分析請求參數與響應差異，識別出 文件協議 漏洞，關鍵指標為 file://,ssrf,0.8,0.75,hard
sql_injection_hard_5629,通過分析請求參數與響應差異，識別出 UNION 查詢 漏洞，關鍵指標為 ORA-,sql_injection,0.85,0.75,hard
jwt_attack_easy_1356,檢測到 簽名繞過 特徵：eyJ,jwt_attack,0.8,0.95,easy
graphql_introspection_medium_5508,在 HTTP 響應中發現 API 偵查 相關的 GraphQL 模式,graphql_introspection,0.6,0.85,medium
xss_medium_2437,在 HTTP 響應中發現 DOM 操作 相關的 innerHTML 模式,xss,0.75,0.85,medium
rce_easy_1648,檢測到 代碼執行 特徵：system(,rce,0.95,0.95,easy
xss_medium_2516,在 HTTP 響應中發現 DOM 操作 相關的 onerror= 模式,xss,0.75,0.85,medium
rce_easy_1773,檢測到 命令注入 特徵：system(,rce,0.95,0.95,easy
ssrf_easy_7131,檢測到 雲端元數據 特徵：file://,ssrf,0.8,0.95,easy
jwt_attack_medium_2423,在 HTTP 響應中發現 簽名繞過 相關的 token 模式,jwt_attack,0.8,0.85,medium
idor_medium_2086,在 HTTP 響應中發現 直接對象引用 相關的 user_id= 模式,idor,0.7,0.85,medium
rce_hard_8983,通過分析請求參數與響應差異，識別出 表達式解析 漏洞，關鍵指標為 OGNL,rce,0.95,0.75,hard
jwt_attack_easy_6508,"檢測到 令牌偽造 特徵：""alg"":""none""",jwt_attack,0.8,0.95,easy
rce_easy_6960,檢測到 命令注入 特徵：${jndi:,rce,0.95,0.95,easy
jwt_attack_hard_2012,通過分析請求參數與響應差異，識別出 算法混淆 漏洞，關鍵指標為 token,jwt_attack,0.8,0.75,hard
sql_injection_hard_8263,通過分析請求參數與響應差異，識別出 數據庫錯誤訊息 漏洞，關鍵指標為 SLEEP(,sql_injection,0.85,0.75,hard
rce_medium_7230,在 HTTP 響應中發現 命令注入 相關的 SpEL 模式,rce,0.95,0.85,medium
idor_medium_3658,在 HTTP 響應中發現 直接對象引用 相關的 user_id= 模式,idor,0.7,0.85,medium
ssrf_medium_8203,在 HTTP 響應中發現 內部服務 相關的 file:// 模式,ssrf,0.8,0.85,medium
real_72_7483,- **IP 偽造**：WAF 通常會信任來自內部網路或特定可信代理的流量。攻擊者可在請求中加入 X-Forwarded-For: 127.0.0.1、X-Originating-IP: 127.0.,ssrf,0.8,0.8,medium
graphql_introspection_easy_6214,檢測到 API 偵查 特徵：GraphQL,graphql_introspection,0.6,0.95,easy
jwt_attack_medium_8981,"在 HTTP 響應中發現 算法混淆 相關的 ""alg"":""none"" 模式",jwt_attack,0.8,0.85,medium
jwt_attack_medium_9302,"在 HTTP 響應中發現 算法混淆 相關的 ""alg"":""none"" 模式",jwt_attack,0.8,0.85,medium
real_40_1912,** | **引用來源** | |----|----|----|----| | **MySQL / MariaDB** | SLEEP(N) | SLEEP() 函數會讓當前執行緒暫停 N 秒。Pay,sql_injection,0.85,0.8,medium
idor_medium_2259,在 HTTP 響應中發現 權限繞過 相關的 account= 模式,idor,0.7,0.85,medium
sql_injection_easy_2906,檢測到 數據庫錯誤訊息 特徵：ORA-,sql_injection,0.85,0.95,easy
idor_easy_7231,檢測到 權限繞過 特徵：account=,idor,0.7,0.95,easy
sql_injection_medium_3776,在 HTTP 響應中發現 UNION 查詢 相關的 syntax error 模式,sql_injection,0.85,0.85,medium
graphql_introspection_easy_5719,檢測到 API 偵查 特徵：__type,graphql_introspection,0.6,0.95,easy
jwt_attack_easy_4606,檢測到 令牌偽造 特徵：eyJ,jwt_attack,0.8,0.95,easy
xss_medium_4879,在 HTTP 響應中發現 腳本注入 相關的 javascript: 模式,xss,0.75,0.85,medium
idor_medium_9468,在 HTTP 響應中發現 直接對象引用 相關的 unauthorized access 模式,idor,0.7,0.85,medium
rce_easy_7519,檢測到 表達式解析 特徵：eval(,rce,0.95,0.95,easy
ssrf_medium_5238,在 HTTP 響應中發現 雲端元數據 相關的 localhost 模式,ssrf,0.8,0.85,medium
rce_medium_6941,在 HTTP 響應中發現 表達式解析 相關的 exec( 模式,rce,0.95,0.85,medium
graphql_introspection_medium_7730,在 HTTP 響應中發現 Schema 暴露 相關的 GraphQL 模式,graphql_introspection,0.6,0.85,medium
graphql_introspection_medium_7080,在 HTTP 響應中發現 API 偵查 相關的 introspection 模式,graphql_introspection,0.6,0.85,medium
rce_easy_2606,檢測到 代碼執行 特徵：system(,rce,0.95,0.95,easy
xss_easy_4247,檢測到 DOM 操作 特徵：onerror=,xss,0.75,0.95,easy
jwt_attack_hard_9430,"通過分析請求參數與響應差異，識別出 令牌偽造 漏洞，關鍵指標為 ""alg"":""none""",jwt_attack,0.8,0.75,hard
ssrf_medium_5071,在 HTTP 響應中發現 文件協議 相關的 127.0.0.1 模式,ssrf,0.8,0.85,medium
idor_hard_6377,通過分析請求參數與響應差異，識別出 權限繞過 漏洞，關鍵指標為 unauthorized access,idor,0.7,0.75,hard
ssrf_easy_4070,檢測到 雲端元數據 特徵：localhost,ssrf,0.8,0.95,easy
xss_medium_7792,在 HTTP 響應中發現 事件處理器 相關的 javascript: 模式,xss,0.75,0.85,medium
sql_injection_easy_8303,檢測到 UNION 查詢 特徵：error in your sql,sql_injection,0.85,0.95,easy
ssrf_medium_1424,在 HTTP 響應中發現 內部服務 相關的 169.254.169.254 模式,ssrf,0.8,0.85,medium
sql_injection_medium_6393,在 HTTP 響應中發現 UNION 查詢 相關的 UNION SELECT 模式,sql_injection,0.85,0.85,medium
jwt_attack_medium_2351,在 HTTP 響應中發現 令牌偽造 相關的 eyJ 模式,jwt_attack,0.8,0.85,medium
sql_injection_easy_1921,檢測到 數據庫錯誤訊息 特徵：syntax error,sql_injection,0.85,0.95,easy
graphql_introspection_easy_4332,檢測到 Schema 暴露 特徵：GraphQL,graphql_introspection,0.6,0.95,easy
rce_hard_1955,通過分析請求參數與響應差異，識別出 表達式解析 漏洞，關鍵指標為 exec(,rce,0.95,0.75,hard
ssrf_hard_5701,通過分析請求參數與響應差異，識別出 雲端元數據 漏洞，關鍵指標為 metadata,ssrf,0.8,0.75,hard
rce_hard_6846,通過分析請求參數與響應差異，識別出 表達式解析 漏洞，關鍵指標為 eval(,rce,0.95,0.75,hard
jwt_attack_hard_7450,通過分析請求參數與響應差異，識別出 簽名繞過 漏洞，關鍵指標為 eyJ,jwt_attack,0.8,0.75,hard
rce_easy_3499,檢測到 表達式解析 特徵：exec(,rce,0.95,0.95,easy
idor_hard_9131,通過分析請求參數與響應差異，識別出 權限繞過 漏洞，關鍵指標為 unauthorized access,idor,0.7,0.75,hard
graphql_introspection_easy_5017,檢測到 API 偵查 特徵：GraphQL,graphql_introspection,0.6,0.95,easy
ssrf_medium_8650,在 HTTP 響應中發現 雲端元數據 相關的 169.254.169.254 模式,ssrf,0.8,0.85,medium
ssrf_medium_3634,在 HTTP 響應中發現 雲端元數據 相關的 localhost 模式,ssrf,0.8,0.85,medium
sql_injection_hard_4078,通過分析請求參數與響應差異，識別出 UNION 查詢 漏洞，關鍵指標為 mysql_fetch,sql_injection,0.85,0.75,hard
jwt_attack_easy_9868,"檢測到 簽名繞過 特徵：""alg"":""none""",jwt_attack,0.8,0.95,easy
sql_injection_hard_5088,通過分析請求參數與響應差異，識別出 時間延遲 漏洞，關鍵指標為 SLEEP(,sql_injection,0.85,0.75,hard
